2016-07-06 11:56:58,287 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: nitsard:searchApp:1.0 @ /Users/ushasud/Dev/searchApp/pom.xml.
2016-07-06 11:56:58,974 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /searchApp/src/main/java
2016-07-06 11:56:58,975 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /searchApp/src/test/java
2016-07-06 11:56:59,027 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2016-07-06 11:57:00,081 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 11:57:00,089 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ushasud/Dev/searchApp/src/main/resources
2016-07-06 11:57:00,094 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 11:57:00,095 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ushasud/Dev/searchApp/src/test/resources
2016-07-06 11:57:18,013 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-07-06 11:57:18,431 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: nitsard:searchApp:1.0 @ /Users/ushasud/Dev/searchApp/pom.xml.
2016-07-06 11:57:18,592 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /searchApp/src/main/java
2016-07-06 11:57:18,592 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /searchApp/src/test/java
2016-07-06 11:57:18,655 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-07-06 11:57:18,837 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 11:57:18,838 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ushasud/Dev/searchApp/src/main/resources
2016-07-06 11:57:18,840 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 11:57:18,841 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ushasud/Dev/searchApp/src/test/resources
2016-07-06 11:57:50,538 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 11:57:50,539 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ushasud/Dev/searchApp/src/main/resources
2016-07-06 11:57:50,540 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 11:57:50,541 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ushasud/Dev/searchApp/src/test/resources
2016-07-06 11:58:07,329 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-07-06 11:58:07,741 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: nitsard:searchApp:1.0 @ /Users/ushasud/Dev/searchApp/pom.xml.
2016-07-06 11:58:07,878 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /searchApp/src/main/java
2016-07-06 11:58:07,878 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /searchApp/src/test/java
2016-07-06 11:58:07,973 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-07-06 11:58:08,148 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 11:58:08,149 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ushasud/Dev/searchApp/src/main/resources
2016-07-06 11:58:08,151 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-06 11:58:08,151 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ushasud/Dev/searchApp/src/test/resources
2016-07-06 11:58:29,121 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-07-06 11:58:35,891 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/ushasud/Dev/searchApp
2016-07-06 11:58:35,891 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2016-07-06 11:58:37,726 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
